"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ly.doc.builder","src/main/java/com/ly/doc/builder/AdocDocBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"2","com.ly.doc.builder","src/main/java/com/ly/doc/builder/ApiDataBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"3","com.ly.doc.builder","src/main/java/com/ly/doc/builder/ApiDocBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"4","com.ly.doc.builder","src/main/java/com/ly/doc/builder/BaseDocBuilderTemplate.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"5","com.ly.doc.builder","src/main/java/com/ly/doc/builder/DocBuilderTemplate.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"6","com.ly.doc.builder","src/main/java/com/ly/doc/builder/DocBuilderTemplate.java","3","97","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"7","com.ly.doc.builder","src/main/java/com/ly/doc/builder/DocBuilderTemplate.java","3","111","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"8","com.ly.doc.builder","src/main/java/com/ly/doc/builder/DocBuilderTemplate.java","3","277","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"9","com.ly.doc.builder","src/main/java/com/ly/doc/builder/DocBuilderTemplate.java","3","316","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"10","com.ly.doc.builder","src/main/java/com/ly/doc/builder/HtmlApiDocBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"11","com.ly.doc.builder","src/main/java/com/ly/doc/builder/HtmlApiDocBuilder.java","3","114","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"12","com.ly.doc.builder","src/main/java/com/ly/doc/builder/PostmanJsonBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"13","com.ly.doc.builder","src/main/java/com/ly/doc/builder/ProjectDocConfigBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"14","com.ly.doc.builder","src/main/java/com/ly/doc/builder/ProjectDocConfigBuilder.java","3","59","GodClass: Possible God Class (WMC=81, ATFD=69, TCC=7.510%)","Design","GodClass"
"15","com.ly.doc.builder","src/main/java/com/ly/doc/builder/TornaBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"16","com.ly.doc.builder.openapi","src/main/java/com/ly/doc/builder/openapi/OpenApiBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"17","com.ly.doc.builder.openapi","src/main/java/com/ly/doc/builder/openapi/OpenApiBuilder.java","3","138","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"18","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcAdocBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"19","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcApiDataBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"20","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcDocBuilderTemplate.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"21","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcDocBuilderTemplate.java","3","90","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"22","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcDocBuilderTemplate.java","3","138","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"23","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcHtmlBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"24","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcMarkdownBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"25","com.ly.doc.builder.rpc","src/main/java/com/ly/doc/builder/rpc/RpcTornaBuilder.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"26","com.ly.doc.constants","src/main/java/com/ly/doc/constants/ApiReqParamInTypeEnum.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"27","com.ly.doc.constants","src/main/java/com/ly/doc/constants/ComponentTypeEnum.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"28","com.ly.doc.constants","src/main/java/com/ly/doc/constants/DocAnnotationConstants.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"29","com.ly.doc.constants","src/main/java/com/ly/doc/constants/DocGlobalConstants.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"30","com.ly.doc.constants","src/main/java/com/ly/doc/constants/DocLanguage.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"31","com.ly.doc.constants","src/main/java/com/ly/doc/constants/DocTags.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"32","com.ly.doc.constants","src/main/java/com/ly/doc/constants/DocValidatorAnnotationEnum.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"33","com.ly.doc.constants","src/main/java/com/ly/doc/constants/DubboAnnotationConstants.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"34","com.ly.doc.constants","src/main/java/com/ly/doc/constants/FrameworkEnum.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"35","com.ly.doc.constants","src/main/java/com/ly/doc/constants/HighlightStyle.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"36","com.ly.doc.constants","src/main/java/com/ly/doc/constants/JAXRSAnnotations.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
